merchant_description,merchant_token,mcc,city,country,predicted_main_category,predicted_main_category_description,predicted_subcategory,predicted_subcategory_description,predicted_sub_subcategory,confidence,classification_source,matched_by
ARAL STATION 286427117,aral station,5541,BOPPARD,DE,Fuel & Automotive,"Gas Stations, Auto dealers, automotive services",Wholesale,"Durable goods wholesalers, industrial equipment",Service Stations (Fuel),0.95,rule_based,mcc_rule
FOODORA_AT_QN5W-4H7M,foodora,5499,WIEN,AT,Groceries,"Grocery stores, supermarkets",Wholesale,"Durable goods wholesalers, industrial equipment",Misc Food Stores,0.95,rule_based,mcc_rule
NYX*CAFESBIBALVENDING,nyx cafesbibalvending,5814,SAINTAUNES,FR,Restaurants & Dining,"Restaurants, cafes, fast food",Restaurants & Digital Goods,"Restaurants, bars, fast food, digital content",Fast Food Restaurants,0.95,rule_based,mcc_rule
TOOGOODT KJT0G6060T270,toogoodt,5812,TOOGOODTOGO.E,DK,Restaurants & Dining,"Restaurants, cafes, fast food",Restaurants & Digital Goods,"Restaurants, bars, fast food, digital content",Restaurants,0.95,rule_based,mcc_rule
SKYSHOWTIME C148A STANDAR,skyshowtime standar,4899,AMSTERDAM,NL,Bills and Utilities,"Electricity, telecom, utilities",Utilities & Telecom,"Telecommunications, cable TV, internet services, utilities",Cable / Satellite Services,0.95,rule_based,mcc_rule
SKYSHOWTIME X7473 STANDAR,skyshowtime standar,4899,AMSTERDAM,NL,Bills and Utilities,"Electricity, telecom, utilities",Utilities & Telecom,"Telecommunications, cable TV, internet services, utilities",Cable / Satellite Services,0.95,rule_based,mcc_rule
3CKET* 1310645 OROCHI,orochi,7399,LISBOA,PT,,,Business Services,"Advertising, consulting, IT services",Business Services,0.0,rule_based,
D8FMW9SFN0CG,,4111,TOULOUSE CEDE,FR,Transport & Taxis,"Taxi, public transport",Transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",Local/Suburban Transportation,0.95,rule_based,mcc_rule
VIPPS * RICHARD MELAND,vipps richard meland,4829,OSLO,NO,Bills and Utilities,"Electricity, telecom, utilities",Utilities & Telecom,"Telecommunications, cable TV, internet services, utilities",Money Transfer,0.95,rule_based,mcc_rule
TOOGOODT D24VDZYQT4V10,toogoodt,5812,TOOGOODTOGO.E,DK,Restaurants & Dining,"Restaurants, cafes, fast food",Restaurants & Digital Goods,"Restaurants, bars, fast food, digital content",Restaurants,0.95,rule_based,mcc_rule
TCL 69 LYO,tcl lyo,4111,V26023029473�,FR,Transport & Taxis,"Taxi, public transport",Transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",Local/Suburban Transportation,0.95,rule_based,mcc_rule
ALDI SUISSE 90,aldi suisse,5411,ZURICH,CH,Groceries,"Grocery stores, supermarkets",Wholesale,"Durable goods wholesalers, industrial equipment",Grocery Stores / Supermarkets,0.95,rule_based,mcc_rule
ALENSA MEDICAL,alensa medical,8043,950525315,CZ,Health & Pharmacy,Medical and health services,Healthcare,"Doctors, dentists, hospitals",Opticians,0.95,rule_based,mcc_rule
FRESH TRADE BAAR GMBH,fresh trade baar gmbh,5411,BAAR ZG,CH,Groceries,"Grocery stores, supermarkets",Wholesale,"Durable goods wholesalers, industrial equipment",Grocery Stores / Supermarkets,0.95,rule_based,mcc_rule
NYA*COFFEE ADDRESS,nya coffee address,5499,52404343,LT,Groceries,"Grocery stores, supermarkets",Wholesale,"Durable goods wholesalers, industrial equipment",Misc Food Stores,0.95,rule_based,mcc_rule
TV NOVA 1831723937,nova,4899,PRAHA 5,CZ,Bills and Utilities,"Electricity, telecom, utilities",Utilities & Telecom,"Telecommunications, cable TV, internet services, utilities",Cable / Satellite Services,0.95,rule_based,mcc_rule
T & J'S FISH &CHIPS,fish chips,5812,PAFOS,CY,Restaurants & Dining,"Restaurants, cafes, fast food",Restaurants & Digital Goods,"Restaurants, bars, fast food, digital content",Restaurants,0.95,rule_based,mcc_rule
MAXI BAZAR,maxi bazar,5200,PARIS,FR,,,Wholesale,"Durable goods wholesalers, industrial equipment",Home Supply Warehouse Stores,0.0,rule_based,
ALDI STORES LIMITED,aldi stores limited,5411,AVIEMORE,GB,Groceries,"Grocery stores, supermarkets",Wholesale,"Durable goods wholesalers, industrial equipment",Grocery Stores / Supermarkets,0.95,rule_based,mcc_rule
FOODORA_AT_ALGK-2525-A,foodora algk,5499,WIEN,AT,Groceries,"Grocery stores, supermarkets",Wholesale,"Durable goods wholesalers, industrial equipment",Misc Food Stores,0.95,rule_based,mcc_rule
FOODORA_AT_ZAOU-2509-M,foodora zaou,5499,WIEN,AT,Groceries,"Grocery stores, supermarkets",Wholesale,"Durable goods wholesalers, industrial equipment",Misc Food Stores,0.95,rule_based,mcc_rule
SUMUP  *LANE 13 CAFE LTD,sumup lane cafe ltd,5812,BRAY,IE,Restaurants & Dining,"Restaurants, cafes, fast food",Restaurants & Digital Goods,"Restaurants, bars, fast food, digital content",Restaurants,0.95,rule_based,mcc_rule
MCDONALD'S WESTERHAVEN,mcdonald westerhaven,5814,GRONINGEN,NL,Restaurants & Dining,"Restaurants, cafes, fast food",Restaurants & Digital Goods,"Restaurants, bars, fast food, digital content",Fast Food Restaurants,0.95,rule_based,mcc_rule
TOOGOODT 1QNPCHK6PN460,toogoodt,5812,TOOGOODTOGO.C,DK,Restaurants & Dining,"Restaurants, cafes, fast food",Restaurants & Digital Goods,"Restaurants, bars, fast food, digital content",Restaurants,0.95,rule_based,mcc_rule
TCL 69 LYO,tcl lyo,4111,V25178027305�,FR,Transport & Taxis,"Taxi, public transport",Transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",Local/Suburban Transportation,0.95,rule_based,mcc_rule
F TEX KOLDING,tex kolding,5411,KOLDING,DK,Groceries,"Grocery stores, supermarkets",Wholesale,"Durable goods wholesalers, industrial equipment",Grocery Stores / Supermarkets,0.95,rule_based,mcc_rule
FOODORA_AT_L05R-2446-2,foodora,5499,WIEN,AT,Groceries,"Grocery stores, supermarkets",Wholesale,"Durable goods wholesalers, industrial equipment",Misc Food Stores,0.95,rule_based,mcc_rule
O17516112885805706 APP BR,,9311,TORINO,IT,Government and Taxes,"Taxes, fines, government services",Government Payments,"Taxes, fees",Tax Payments,0.95,rule_based,mcc_rule
DJERBA 5 TDF,djerba tdf,5309,AEROPORT DJER,TN,,,Wholesale,"Durable goods wholesalers, industrial equipment",,0.0,rule_based,
LIDL DISCOUNT SRL,lidl discount srl,5411,TULCEA,RO,Groceries,"Grocery stores, supermarkets",Wholesale,"Durable goods wholesalers, industrial equipment",Grocery Stores / Supermarkets,0.95,rule_based,mcc_rule
BREAD.LOVE AL VINAIO,bread love vinaio,5812,ZÜRICH,CH,Restaurants & Dining,"Restaurants, cafes, fast food",Restaurants & Digital Goods,"Restaurants, bars, fast food, digital content",Restaurants,0.95,rule_based,mcc_rule
LIBRAIRIE LE PET,librairie pet,5942,PUNAAUIA - TA,PF,,,Retail Specialty,"Drugstores, liquor stores, hobby shops, bookstores",Book Stores,0.0,rule_based,
CPI*TWIN PARKING FEE,cpi twin parking fee,5552,SHEFFIELD,GB,Fuel & Automotive,"Gas Stations, Auto dealers, automotive services",Wholesale,"Durable goods wholesalers, industrial equipment",,0.95,rule_based,mcc_rule
VODAFONE.ITRICARICA1CL,vodafone,4812,MILANO,IT,Bills and Utilities,"Electricity, telecom, utilities",Utilities & Telecom,"Telecommunications, cable TV, internet services, utilities",Telecom Equipment,0.95,rule_based,mcc_rule
ROSSMANN 2330,rossmann,5912,HILDESHEIM,DE,Health & Pharmacy,Pharmacies,Retail Specialty,"Drugstores, liquor stores, hobby shops, bookstores",Pharmacies,0.95,rule_based,mcc_rule
WWW.AMAZON* 204-743354,amazon,5399,14018657948,GB,Shopping,"Department stores, general retail",Wholesale,"Durable goods wholesalers, industrial equipment",Misc. General Merchandise,0.95,rule_based,mcc_rule
LIBRARIA DE DES,libraria des,5815,CAMPIA TURZII,RO,,,Restaurants & Digital Goods,"Restaurants, bars, fast food, digital content",,0.0,rule_based,
LIME*AUTH HUBC,lime auth hubc,4789,496977044733,DE,,,Transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",,0.0,rule_based,
TOOGOODT 7WDWS147VDVZ0,toogoodt,5812,TOOGOODTOGO.B,DK,Restaurants & Dining,"Restaurants, cafes, fast food",Restaurants & Digital Goods,"Restaurants, bars, fast food, digital content",Restaurants,0.95,rule_based,mcc_rule
FIRST DATA CONO SUR,first data cono sur,6011,S. D. ESTERO ARG,AR,Financial Services,"ATM withdrawals, financial institutions",Financial,"Banks, ATM withdrawals, quasi-cash transactions",ATM Cash Withdrawal,0.95,rule_based,mcc_rule
WAL-MART #1691,wal mart,5411,OVERLAND PARK,US,Groceries,"Grocery stores, supermarkets",Wholesale,"Durable goods wholesalers, industrial equipment",Grocery Stores / Supermarkets,0.95,rule_based,mcc_rule
FOODORA_AT_UAS8-2519-Q,foodora,5499,WIEN,AT,Groceries,"Grocery stores, supermarkets",Wholesale,"Durable goods wholesalers, industrial equipment",Misc Food Stores,0.95,rule_based,mcc_rule
TESCO-STORES 6069,tesco stores,5411,LONDON,GB,Groceries,"Grocery stores, supermarkets",Wholesale,"Durable goods wholesalers, industrial equipment",Grocery Stores / Supermarkets,0.95,rule_based,mcc_rule
CHECKERSHYPER HELDERBR,checkershyper helderbr,5411,SOMERSET WEST,ZA,Groceries,"Grocery stores, supermarkets",Wholesale,"Durable goods wholesalers, industrial equipment",Grocery Stores / Supermarkets,0.95,rule_based,mcc_rule
CONAD,conad,5411,GROSSETO,IT,Groceries,"Grocery stores, supermarkets",Wholesale,"Durable goods wholesalers, industrial equipment",Grocery Stores / Supermarkets,0.95,rule_based,mcc_rule
LIME*2 COURSES RKMT,lime courses rkmt,4789,PARIS,FR,,,Transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",,0.0,rule_based,
METAPAY*7QBCQ488N2,metapay,7311,FB.ME/ADS,IE,,,Business Services,"Advertising, consulting, IT services",Advertising Services,0.0,rule_based,
GOPAY  *FATBROTHERS.CZ,gopay fatbrothers,5499,SUCHDOL,CZ,Groceries,"Grocery stores, supermarkets",Wholesale,"Durable goods wholesalers, industrial equipment",Misc Food Stores,0.95,rule_based,mcc_rule
RADICAL ZADAR,radical zadar,4225,390645490973,IT,,,Transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",,0.0,rule_based,
PRIMARK ROTTERDAM FORU,primark rotterdam foru,5651,U ROTTERDAM,NL,Clothing & Apparel,Clothing stores,Apparel,"Clothing stores, shoe stores, specialty apparel",Family Clothing Stores,0.95,rule_based,mcc_rule
NYX*ASOVENDINGSRO,nyx asovendingsro,5499,BANSKABYSTRIC,SK,Groceries,"Grocery stores, supermarkets",Wholesale,"Durable goods wholesalers, industrial equipment",Misc Food Stores,0.95,rule_based,mcc_rule
VIPPS*FADWA ABDINAASIR,vipps fadwa abdinaasir,4829,OSLO,NO,Bills and Utilities,"Electricity, telecom, utilities",Utilities & Telecom,"Telecommunications, cable TV, internet services, utilities",Money Transfer,0.95,rule_based,mcc_rule
W M MORRISON PLC,morrison plc,5411,DUNSTABLE,GB,Groceries,"Grocery stores, supermarkets",Wholesale,"Durable goods wholesalers, industrial equipment",Grocery Stores / Supermarkets,0.95,rule_based,mcc_rule
LUCU FOOD I MAL,lucu food mal,5499,MALMO,SE,Groceries,"Grocery stores, supermarkets",Wholesale,"Durable goods wholesalers, industrial equipment",Misc Food Stores,0.95,rule_based,mcc_rule
SKI LENZ,ski lenz,5941,SCHLADMING,AT,,,Retail Specialty,"Drugstores, liquor stores, hobby shops, bookstores",Sporting Goods Stores,0.0,rule_based,
FOODORA_AT_WW4W-H5V1,foodora,5499,WIEN,AT,Groceries,"Grocery stores, supermarkets",Wholesale,"Durable goods wholesalers, industrial equipment",Misc Food Stores,0.95,rule_based,mcc_rule
NLOV##HASH##,nlov hash,4111,WWW.OVPAY.NL,NL,Transport & Taxis,"Taxi, public transport",Transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",Local/Suburban Transportation,0.95,rule_based,mcc_rule
GUMRD.COM* GRAPPHICS,gumrd grapphics,5192,SAN FRANCISCO,US,,,Wholesale,"Durable goods wholesalers, industrial equipment",,0.0,rule_based,
FUNNY BOYS,funny boys,5813,SONNELAND,ES,Bars & Alcohol,Bars,Restaurants & Digital Goods,"Restaurants, bars, fast food, digital content",Bars / Taverns,0.95,rule_based,mcc_rule
HIPODROM,hipodrom,5812,ZAGREB,HR,Restaurants & Dining,"Restaurants, cafes, fast food",Restaurants & Digital Goods,"Restaurants, bars, fast food, digital content",Restaurants,0.95,rule_based,mcc_rule
NYX*MIXAVENDINGSRO,nyx mixavendingsro,5499,NOVYJICIN,CZ,Groceries,"Grocery stores, supermarkets",Wholesale,"Durable goods wholesalers, industrial equipment",Misc Food Stores,0.95,rule_based,mcc_rule
MERCADONA LA CERAMICA,mercadona ceramica,5411,ALICANTE ALAC,ES,Groceries,"Grocery stores, supermarkets",Wholesale,"Durable goods wholesalers, industrial equipment",Grocery Stores / Supermarkets,0.95,rule_based,mcc_rule
POTRAVINY,potraviny,5499,LEDEC N/SAZ.,CZ,Groceries,"Grocery stores, supermarkets",Wholesale,"Durable goods wholesalers, industrial equipment",Misc Food Stores,0.95,rule_based,mcc_rule
AMAZON UK* 3C4X46JM5,amazon,5399,LONDON,GB,Shopping,"Department stores, general retail",Wholesale,"Durable goods wholesalers, industrial equipment",Misc. General Merchandise,0.95,rule_based,mcc_rule
MAXI ICA STORMARKNAD NYNA,maxi ica stormarknad nyna,5411,NYNASHAMN,SE,Groceries,"Grocery stores, supermarkets",Wholesale,"Durable goods wholesalers, industrial equipment",Grocery Stores / Supermarkets,0.95,rule_based,mcc_rule
FOODORA_AT_Y154-2511-L,foodora,5499,WIEN,AT,Groceries,"Grocery stores, supermarkets",Wholesale,"Durable goods wholesalers, industrial equipment",Misc Food Stores,0.95,rule_based,mcc_rule
DELIJN##HASH##,delijn hash,4111,DL 1FROMPWL,BE,Transport & Taxis,"Taxi, public transport",Transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",Local/Suburban Transportation,0.95,rule_based,mcc_rule
GOPAY  *BAGABAGA.SK,gopay bagabaga,5699,BRATISLAVA,SK,Clothing & Apparel,Clothing stores,Apparel,"Clothing stores, shoe stores, specialty apparel",,0.95,rule_based,mcc_rule
BANDCAMPDARKENTRIESR,bandcampdarkentriesr,5815,BANDCAMP.CO,US,,,Restaurants & Digital Goods,"Restaurants, bars, fast food, digital content",,0.0,rule_based,
MALMO KOMMUN,malmo kommun,7523,MALMO,SE,,,Repair Services,"Automotive repair, equipment maintenance",,0.0,rule_based,
FARMFOODS 623,farmfoods,5411,WOLVERHAMPTON,GB,Groceries,"Grocery stores, supermarkets",Wholesale,"Durable goods wholesalers, industrial equipment",Grocery Stores / Supermarkets,0.95,rule_based,mcc_rule
MCDONALDS,mcdonalds,5814,GRENCHEN,CH,Restaurants & Dining,"Restaurants, cafes, fast food",Restaurants & Digital Goods,"Restaurants, bars, fast food, digital content",Fast Food Restaurants,0.95,rule_based,mcc_rule
RIBALTA,ribalta,5812,NEW YORK,US,Restaurants & Dining,"Restaurants, cafes, fast food",Restaurants & Digital Goods,"Restaurants, bars, fast food, digital content",Restaurants,0.95,rule_based,mcc_rule
TOOGOODT VFDSR8YHRDX00,toogoodt,5812,COPENHAGEN,DK,Restaurants & Dining,"Restaurants, cafes, fast food",Restaurants & Digital Goods,"Restaurants, bars, fast food, digital content",Restaurants,0.95,rule_based,mcc_rule
DEKUJEME-*##HASH##,dekujeme hash,4111,HRAD. KRALOVE,CZ,Transport & Taxis,"Taxi, public transport",Transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",Local/Suburban Transportation,0.95,rule_based,mcc_rule
USCUSTOMS ESTA APPL PMT,uscustoms esta pmt,9399,317-715-6776,US,Government and Taxes,"Taxes, fines, government services",Government Payments,"Taxes, fees",Government Services,0.95,rule_based,mcc_rule
GREEN PASTA AMSTETTE,green pasta amstette,5812,AMSTETTEN,AT,Restaurants & Dining,"Restaurants, cafes, fast food",Restaurants & Digital Goods,"Restaurants, bars, fast food, digital content",Restaurants,0.95,rule_based,mcc_rule
RCS RDS BMARE VICTORIE,rcs rds bmare victorie,4814,BAIA MARE,RO,Bills and Utilities,"Electricity, telecom, utilities",Utilities & Telecom,"Telecommunications, cable TV, internet services, utilities",Telecommunication Services,0.95,rule_based,mcc_rule
TAKKO FASHION 4975,takko fashion,5651,ZVOLEN,SK,Clothing & Apparel,Clothing stores,Apparel,"Clothing stores, shoe stores, specialty apparel",Family Clothing Stores,0.95,rule_based,mcc_rule
FORRO'N FAGYI,forro fagyi,5812,FORRO,HU,Restaurants & Dining,"Restaurants, cafes, fast food",Restaurants & Digital Goods,"Restaurants, bars, fast food, digital content",Restaurants,0.95,rule_based,mcc_rule
JUNGFRAU GASTRONOMIE AG,jungfrau gastronomie,5812,INTERLAKEN,CH,Restaurants & Dining,"Restaurants, cafes, fast food",Restaurants & Digital Goods,"Restaurants, bars, fast food, digital content",Restaurants,0.95,rule_based,mcc_rule
ARABIA TAXI,arabia taxi,4121,ABU DHABI,AE,Transport & Taxis,"Taxi, public transport",Transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",Taxi Services,0.95,rule_based,mcc_rule
EAT TOKYO SOHO,eat tokyo soho,5812,LONDON,GB,Restaurants & Dining,"Restaurants, cafes, fast food",Restaurants & Digital Goods,"Restaurants, bars, fast food, digital content",Restaurants,0.95,rule_based,mcc_rule
LA METROPOLE MOB,metropole mob,4111,GJJCBXU7HB0U�,FR,Transport & Taxis,"Taxi, public transport",Transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",Local/Suburban Transportation,0.95,rule_based,mcc_rule
PAYPAL *AIRBNB  HMMMZ22,paypal airbnb,7011,35314369001,GB,Hotels & Accommodation,"Hotels, resorts",Personal Services,"Hotels, laundry, beauty services, personal care",Hotels / Motels,0.95,rule_based,mcc_rule
97J0MO ZENMARKET,zenmarket,4215,OSAKA,JP,,,Transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",Courier Services,0.0,rule_based,
HAPPYTIGER,happytiger,7995,ID:2909504719,DK,Entertainment & Leisure,"Cinemas, gaming, amusement, recreation",Entertainment & Recreation,"Gambling, cinemas, amusement parks, sports",Betting / Gambling,0.95,rule_based,mcc_rule
LIME*CORSA LGD5,lime corsa,4789,MILAN,IT,,,Transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",,0.0,rule_based,
ACS*23128976 THREE,acs three,4814,ROTTERDAM,NL,Bills and Utilities,"Electricity, telecom, utilities",Utilities & Telecom,"Telecommunications, cable TV, internet services, utilities",Telecommunication Services,0.95,rule_based,mcc_rule
CITY CADENAZZO 84,city cadenazzo,5541,CADENAZZO,CH,Fuel & Automotive,"Gas Stations, Auto dealers, automotive services",Wholesale,"Durable goods wholesalers, industrial equipment",Service Stations (Fuel),0.95,rule_based,mcc_rule
R42ZVB7UU32N,,4111,LORIENT,FR,Transport & Taxis,"Taxi, public transport",Transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",Local/Suburban Transportation,0.95,rule_based,mcc_rule
ACS*20271142 THREE,acs three,4814,ROTTERDAM,NL,Bills and Utilities,"Electricity, telecom, utilities",Utilities & Telecom,"Telecommunications, cable TV, internet services, utilities",Telecommunication Services,0.95,rule_based,mcc_rule
LIME*2 RIDES NCTZ,lime rides nctz,4789,BARANGAROO,AU,,,Transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",,0.0,rule_based,
PEPCO 001047 TORUN 7,pepco torun,5311,TORUN,PL,Shopping,"Department stores, general retail",Wholesale,"Durable goods wholesalers, industrial equipment",Department Stores,0.95,rule_based,mcc_rule
VIPPS*FELIX GRANUM SVE,vipps felix granum sve,4829,OSLO,NO,Bills and Utilities,"Electricity, telecom, utilities",Utilities & Telecom,"Telecommunications, cable TV, internet services, utilities",Money Transfer,0.95,rule_based,mcc_rule
STADTWERKE VERKEHRSGES.,stadtwerke verkehrsges,4111,FRANKFURT AM,DE,Transport & Taxis,"Taxi, public transport",Transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",Local/Suburban Transportation,0.95,rule_based,mcc_rule
LIDL-SI 289,lidl,5411,GROSUPLJE,SI,Groceries,"Grocery stores, supermarkets",Wholesale,"Durable goods wholesalers, industrial equipment",Grocery Stores / Supermarkets,0.95,rule_based,mcc_rule
ETSY.COM - MEVASCH,etsy mevasch,5699,DUBLIN,IE,Clothing & Apparel,Clothing stores,Apparel,"Clothing stores, shoe stores, specialty apparel",,0.95,rule_based,mcc_rule
SUBWAY 15602,subway,5814,BLOOMFIELD,US,Restaurants & Dining,"Restaurants, cafes, fast food",Restaurants & Digital Goods,"Restaurants, bars, fast food, digital content",Fast Food Restaurants,0.95,rule_based,mcc_rule
DIMONIS DE LAVERN,dimonis lavern,5942,ALBORAYA,ES,,,Retail Specialty,"Drugstores, liquor stores, hobby shops, bookstores",Book Stores,0.0,rule_based,
KFC DUNDALK DT,kfc dundalk,5814,DUNDALK,IE,Restaurants & Dining,"Restaurants, cafes, fast food",Restaurants & Digital Goods,"Restaurants, bars, fast food, digital content",Fast Food Restaurants,0.95,rule_based,mcc_rule
MYTRIP_UK_MOW680,mytrip,4722,ONLINE,SE,Travel & Airlines,Travel agencies,Transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",,0.95,rule_based,mcc_rule
CLAUDATOS SRL,claudatos srl,5411,PECICA,RO,Groceries,"Grocery stores, supermarkets",Wholesale,"Durable goods wholesalers, industrial equipment",Grocery Stores / Supermarkets,0.95,rule_based,mcc_rule
NYA*MARKIES CATERING,nya markies catering,5499,AMSTERDAM,NL,Groceries,"Grocery stores, supermarkets",Wholesale,"Durable goods wholesalers, industrial equipment",Misc Food Stores,0.95,rule_based,mcc_rule
LIME*AUTH STXI,lime auth stxi,4789,302111983348,GR,,,Transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",,0.0,rule_based,
BOLT.EUD2512021529,bolt,5812,TALLINN,EE,Restaurants & Dining,"Restaurants, cafes, fast food",Restaurants & Digital Goods,"Restaurants, bars, fast food, digital content",Restaurants,0.95,rule_based,mcc_rule
WESTSIDE LILO'S,westside lilo,5812,SELIGMAN,US,Restaurants & Dining,"Restaurants, cafes, fast food",Restaurants & Digital Goods,"Restaurants, bars, fast food, digital content",Restaurants,0.95,rule_based,mcc_rule
NYX*VENDINGWORK,nyx vendingwork,5814,GRONINGEN,NL,Restaurants & Dining,"Restaurants, cafes, fast food",Restaurants & Digital Goods,"Restaurants, bars, fast food, digital content",Fast Food Restaurants,0.95,rule_based,mcc_rule
OMNGN*78.95 EUR,omngn eur,5817,LONDON,GB,,,Restaurants & Digital Goods,"Restaurants, bars, fast food, digital content",,0.0,rule_based,
O17645722066102023 APP BR,,9311,TORINO,IT,Government and Taxes,"Taxes, fines, government services",Government Payments,"Taxes, fees",Tax Payments,0.95,rule_based,mcc_rule
INNERGY BV,innergy,5811,ZEVENBERGEN,NL,Restaurants & Dining,"Restaurants, cafes, fast food",Restaurants & Digital Goods,"Restaurants, bars, fast food, digital content",Caterers,0.95,rule_based,mcc_rule
DOROBANTU STEFAN CRIST,dorobantu stefan crist,5999,BELCIUGATELE,RO,,,Retail Specialty,"Drugstores, liquor stores, hobby shops, bookstores",Miscellaneous Retail Stores,0.0,rule_based,
MICROSOFT-G082559348,microsoft,5045,MSBILL.INFO,CH,,,Wholesale,"Durable goods wholesalers, industrial equipment",Computers & Software,0.0,rule_based,
TV NOVA 7832708734,nova,4899,PRAHA 5,CZ,Bills and Utilities,"Electricity, telecom, utilities",Utilities & Telecom,"Telecommunications, cable TV, internet services, utilities",Cable / Satellite Services,0.95,rule_based,mcc_rule
MERCADONA MARMOLES,mercadona marmoles,5411,MALAGA,ES,Groceries,"Grocery stores, supermarkets",Wholesale,"Durable goods wholesalers, industrial equipment",Grocery Stores / Supermarkets,0.95,rule_based,mcc_rule
DAS FALKENSTEIN,das falkenstein,7011,KAPRUN     SA,AT,Hotels & Accommodation,"Hotels, resorts",Personal Services,"Hotels, laundry, beauty services, personal care",Hotels / Motels,0.95,rule_based,mcc_rule
AMAZON UK* ZR5W93PO4,amazon,5399,LONDON,GB,Shopping,"Department stores, general retail",Wholesale,"Durable goods wholesalers, industrial equipment",Misc. General Merchandise,0.95,rule_based,mcc_rule
ALBERT HEIJN 1131,albert heijn,5411,SCHAGEN,NL,Groceries,"Grocery stores, supermarkets",Wholesale,"Durable goods wholesalers, industrial equipment",Grocery Stores / Supermarkets,0.95,rule_based,mcc_rule
AVM NBJIG2VUUPCN4D6,avm,4111,VENEZIA,IT,Transport & Taxis,"Taxi, public transport",Transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",Local/Suburban Transportation,0.95,rule_based,mcc_rule
GOPAY  *ABRAKASTORE.SK,gopay abrakastore,5651,KRAKOVANY,SK,Clothing & Apparel,Clothing stores,Apparel,"Clothing stores, shoe stores, specialty apparel",Family Clothing Stores,0.95,rule_based,mcc_rule
SOLITAIRE CASH,solitaire cash,7994,908-8276502,US,Entertainment & Leisure,"Cinemas, gaming, amusement, recreation",Entertainment & Recreation,"Gambling, cinemas, amusement parks, sports",,0.95,rule_based,mcc_rule
EXPRESS,express,5411,ROMA,IT,Groceries,"Grocery stores, supermarkets",Wholesale,"Durable goods wholesalers, industrial equipment",Grocery Stores / Supermarkets,0.95,rule_based,mcc_rule
SIXT 1012919234,sixt,3355,PULLACH,DE,,,Car Rental,Specific rental car companies,Sixt Rent-A-Car,0.0,rule_based,
SKYSHOWTIME B3A99 STAN,skyshowtime stan,4899,N AMSTERDAM,NL,Bills and Utilities,"Electricity, telecom, utilities",Utilities & Telecom,"Telecommunications, cable TV, internet services, utilities",Cable / Satellite Services,0.95,rule_based,mcc_rule
BENZINA CS 0618,benzina,5541,UNICOV,CZ,Fuel & Automotive,"Gas Stations, Auto dealers, automotive services",Wholesale,"Durable goods wholesalers, industrial equipment",Service Stations (Fuel),0.95,rule_based,mcc_rule
TIK TOK,tik tok,5817,WWW.TIKTOK.CO,IE,,,Restaurants & Digital Goods,"Restaurants, bars, fast food, digital content",,0.0,rule_based,
ETSY.COM*SOCRAFTYSTORE,etsy socraftystore,5699,DUBLIN 1,IE,Clothing & Apparel,Clothing stores,Apparel,"Clothing stores, shoe stores, specialty apparel",,0.95,rule_based,mcc_rule
AMAZON UK* ZP0EH06D4,amazon,5399,LONDON,GB,Shopping,"Department stores, general retail",Wholesale,"Durable goods wholesalers, industrial equipment",Misc. General Merchandise,0.95,rule_based,mcc_rule
PROTV 0056004981,protv,4899,BUCHAREST,RO,Bills and Utilities,"Electricity, telecom, utilities",Utilities & Telecom,"Telecommunications, cable TV, internet services, utilities",Cable / Satellite Services,0.95,rule_based,mcc_rule
TINO'DI FOGADO',tino fogado,5812,SARVAR,HU,Restaurants & Dining,"Restaurants, cafes, fast food",Restaurants & Digital Goods,"Restaurants, bars, fast food, digital content",Restaurants,0.95,rule_based,mcc_rule
NOW DAAEA ULTRA BO,now daaea ultra,5815,LONDON,GB,,,Restaurants & Digital Goods,"Restaurants, bars, fast food, digital content",,0.0,rule_based,
GLOVO 21SEP NBSLLBPQH,glovo nbsllbpqh,4215,BARCELONA,ES,,,Transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",Courier Services,0.0,rule_based,
